R	B	G
116	149	180	
116	149	180	
116	149	180	
116	149	180	
115	148	179	
114	147	178	
113	146	177	
112	145	176	
114	147	178	
115	148	179	
117	150	181	
119	152	183	
121	154	185	
123	156	187	
123	156	187	
124	157	188	
125	155	191	
124	154	190	
124	154	190	
124	154	190	
123	153	189	
123	153	189	
121	154	189	
121	154	189	
120	154	189	
120	154	189	
121	155	190	
121	155	190	
119	155	189	
118	154	188	
118	154	188	
117	153	187	
117	153	187	
117	153	187	
117	153	187	
116	152	186	
115	151	187	
114	150	186	
110	148	184	
110	148	184	
109	149	185	
108	148	184	
107	147	183	
106	146	182	
105	147	185	
106	148	186	
107	149	187	
108	150	188	
107	149	189	
106	148	188	
105	147	187	
104	146	186	
104	146	186	
104	146	186	
104	146	186	
105	147	187	
107	149	189	
108	150	190	
108	150	190	
108	150	190	
107	149	189	
105	147	187	
102	144	184	
100	144	181	
99	145	179	
98	147	179	
97	146	179	
95	144	177	
95	145	180	
99	149	184	
98	148	185	
93	143	180	
91	143	182	
91	143	182	
86	139	179	
80	133	173	
79	132	174	
82	135	177	
82	135	177	
78	133	174	
80	135	174	
77	135	173	
75	134	174	
74	133	173	
73	132	174	
73	132	174	
73	132	176	
73	132	176	
68	129	174	
67	128	173	
65	126	173	
63	124	171	
60	122	171	
60	122	171	
63	125	174	
65	127	176	
67	130	181	
65	128	179	
63	126	177	
61	124	175	
59	122	173	
57	120	171	
55	121	171	
54	120	170	
51	119	168	
52	120	169	
54	122	171	
56	124	173	
55	125	174	
55	125	174	
54	124	173	
52	124	172	
51	125	172	
49	126	172	
49	125	174	
50	126	175	
52	126	175	
51	125	174	
50	123	174	
50	123	174	
46	117	169	
46	117	169	
45	116	170	
44	115	169	
44	115	169	
44	115	169	
45	116	172	
44	117	172	
44	116	175	
45	120	178	
43	120	176	
40	117	173	
41	118	172	
45	122	174	
46	123	175	
44	122	171	
47	121	170	
51	123	171	
56	126	175	
61	127	175	
62	126	172	
60	122	169	
60	121	166	
62	121	165	
76	133	176	
94	147	187	
112	157	198	
116	158	196	
119	153	190	
122	155	188	
126	159	192	
128	163	193	
117	158	186	
112	157	186	
110	157	187	
110	159	192	
115	160	201	
115	159	204	
113	153	202	
111	149	194	
113	147	185	
116	149	182	
122	152	186	
125	155	189	
129	160	191	
135	166	197	
144	171	201	
149	176	206	
150	175	205	
151	177	204	
154	178	206	
157	181	207	
162	184	208	
164	186	210	
166	188	212	
167	189	213	
165	189	217	
161	185	213	
158	181	212	
144	167	198	
123	146	178	
119	142	174	
124	144	177	
117	138	169	
132	153	184	
157	178	205	
184	204	229	
193	214	235	
191	210	227	
189	208	222	
191	210	224	
193	212	226	
191	210	225	
192	211	228	
192	211	228	
192	211	228	
191	210	225	
189	208	223	
186	208	222	
185	207	221	
185	208	224	
181	204	220	
176	198	219	
172	194	217	
169	193	217	
169	193	219	
168	191	222	
166	190	218	
166	190	216	
165	189	213	
165	187	211	
162	184	208	
162	182	206	
160	180	204	
161	179	203	
161	179	203	
160	177	203	
156	176	201	
153	172	202	
149	173	201	
147	170	202	
143	168	199	
138	164	197	
130	163	198	
119	161	199	
113	161	201	
105	154	194	
93	145	184	
85	137	177	
79	134	173	
78	135	178	
78	140	181	
73	134	179	
64	128	172	
58	125	170	
54	125	169	
50	121	167	
44	117	162	
46	120	167	
54	126	174	
58	121	174	
59	120	174	
61	123	174	
65	127	176	
65	127	176	
63	126	170	
69	127	173	
74	133	175	
80	135	176	
85	139	177	
93	142	182	
99	145	181	
105	147	185	
113	153	189	
123	159	195	
129	165	201	
117	150	181	
117	150	181	
117	150	181	
117	150	181	
117	150	181	
117	150	181	
117	150	181	
117	150	181	
117	150	181	
118	151	182	
120	153	184	
123	156	187	
124	157	188	
126	159	190	
126	159	190	
128	159	190	
128	158	192	
128	158	192	
127	157	193	
127	157	191	
126	156	192	
126	156	190	
126	156	192	
124	157	190	
123	156	191	
122	157	189	
122	156	191	
122	157	189	
122	156	191	
120	156	188	
119	153	188	
118	154	188	
115	151	185	
115	151	185	
116	152	186	
116	152	186	
116	152	188	
115	151	187	
112	150	186	
112	150	186	
115	153	190	
113	153	189	
110	150	186	
108	148	184	
105	147	185	
105	147	185	
107	149	187	
108	150	188	
109	151	191	
108	150	190	
107	149	189	
106	148	188	
106	148	188	
106	148	188	
107	149	189	
107	149	189	
107	149	189	
107	149	189	
108	150	190	
108	150	190	
108	150	190	
107	149	189	
105	147	187	
103	147	186	
100	146	180	
99	148	181	
98	147	180	
96	145	178	
98	146	182	
101	151	186	
100	150	187	
95	145	182	
95	144	184	
94	146	185	
91	143	183	
85	138	178	
87	139	179	
90	143	183	
90	143	185	
88	141	181	
84	139	178	
81	139	177	
80	138	178	
79	137	177	
79	136	179	
78	135	178	
78	135	180	
77	136	180	
73	131	177	
70	131	176	
69	130	177	
68	129	176	
66	126	176	
65	127	176	
66	128	177	
67	129	178	
69	132	183	
68	131	182	
66	129	180	
64	127	178	
63	126	177	
62	125	176	
59	125	175	
59	125	175	
53	121	170	
53	121	170	
54	122	171	
55	123	172	
53	123	172	
53	123	172	
53	123	172	
51	123	171	
51	125	172	
49	126	172	
49	125	174	
49	125	174	
51	125	174	
50	124	173	
49	122	173	
48	121	172	
48	119	171	
47	118	170	
46	117	171	
45	116	170	
45	116	170	
45	116	170	
46	117	173	
46	117	173	
44	116	174	
45	120	178	
44	119	176	
40	117	173	
41	118	172	
45	122	174	
46	124	173	
45	121	171	
48	122	171	
52	124	172	
57	127	176	
61	127	175	
61	125	171	
60	122	169	
59	120	165	
61	120	164	
64	121	164	
79	132	172	
96	141	182	
101	143	181	
109	145	181	
118	151	186	
126	159	192	
128	165	194	
122	163	191	
118	163	192	
113	159	192	
106	155	188	
104	149	190	
102	146	191	
102	144	192	
106	144	189	
106	140	178	
111	144	177	
118	148	182	
123	153	187	
128	159	190	
133	164	195	
142	169	199	
147	174	204	
148	173	203	
149	175	202	
152	176	204	
155	179	205	
159	181	205	
162	184	208	
163	185	209	
164	185	212	
162	186	214	
160	184	212	
159	182	213	
147	170	201	
127	150	182	
125	148	180	
133	153	186	
129	150	181	
146	167	198	
166	187	214	
187	207	232	
193	214	235	
191	210	227	
189	208	223	
190	209	223	
191	210	224	
193	212	227	
193	212	229	
192	211	228	
190	209	226	
189	208	223	
187	206	221	
184	206	220	
183	205	219	
184	207	223	
180	203	219	
175	197	218	
172	194	217	
169	193	217	
168	192	218	
167	190	221	
166	190	218	
164	188	214	
163	187	211	
163	185	209	
162	184	208	
161	181	206	
159	179	203	
159	179	203	
158	178	203	
157	177	202	
154	174	201	
149	170	199	
141	166	196	
137	162	193	
132	158	191	
124	153	185	
116	150	185	
111	155	192	
105	154	194	
99	148	188	
89	141	180	
80	133	173	
75	130	171	
74	131	174	
73	135	176	
70	131	176	
63	127	171	
57	124	169	
56	124	169	
50	121	167	
45	118	163	
48	120	168	
56	126	175	
57	120	173	
59	120	174	
65	127	178	
71	133	182	
72	134	183	
68	131	175	
69	130	175	
74	133	175	
86	144	184	
93	147	185	
100	149	189	
107	153	189	
113	155	193	
121	161	197	
131	167	203	
136	172	208	
121	152	181	
120	151	180	
120	151	180	
120	151	180	
121	152	181	
122	153	182	
124	155	184	
125	156	185	
124	155	184	
125	156	185	
127	158	187	
128	159	188	
130	161	190	
131	162	191	
131	162	191	
131	162	193	
132	161	193	
132	161	193	
132	161	195	
132	161	193	
131	160	194	
130	161	192	
130	160	194	
129	160	191	
128	158	192	
126	159	190	
126	159	192	
126	159	190	
125	158	191	
122	157	187	
122	155	188	
120	155	187	
115	150	182	
116	151	183	
117	151	186	
118	152	187	
117	153	187	
117	153	187	
116	152	188	
114	152	188	
116	154	190	
114	152	188	
110	150	186	
107	147	183	
107	147	183	
108	148	184	
110	149	188	
112	151	190	
111	153	193	
111	153	195	
110	152	194	
109	151	193	
108	150	192	
108	150	192	
109	151	193	
109	151	193	
107	149	191	
108	150	192	
109	151	193	
109	151	193	
109	151	193	
108	150	192	
108	150	192	
106	150	189	
101	147	183	
102	148	184	
102	148	184	
100	146	182	
102	148	184	
104	152	188	
103	151	189	
99	147	185	
96	144	182	
97	147	184	
96	145	185	
91	143	182	
94	143	183	
97	149	188	
99	151	191	
97	149	189	
91	144	184	
90	143	183	
90	143	183	
88	143	182	
87	142	183	
86	141	182	
85	139	183	
83	140	185	
78	134	181	
77	135	181	
77	135	183	
74	135	182	
73	133	183	
72	132	182	
71	131	181	
69	131	180	
70	134	182	
70	134	182	
69	133	181	
68	132	180	
67	131	179	
67	131	179	
64	130	178	
64	130	178	
58	126	173	
58	126	173	
57	125	172	
56	124	171	
54	125	171	
54	125	171	
54	125	171	
54	127	172	
52	126	173	
52	126	173	
52	126	173	
52	126	173	
52	124	174	
50	122	172	
49	121	171	
48	120	170	
49	120	172	
48	119	171	
47	118	170	
46	117	169	
47	116	171	
47	116	171	
47	116	171	
47	118	174	
44	116	174	
45	120	177	
45	120	177	
42	117	174	
41	118	172	
45	122	174	
47	123	173	
44	120	170	
48	122	171	
52	124	172	
56	126	175	
60	126	174	
60	124	170	
59	121	168	
59	120	165	
61	120	164	
59	116	159	
71	124	164	
87	132	173	
96	138	178	
110	145	183	
122	156	191	
130	165	197	
131	167	199	
125	166	196	
119	166	194	
111	160	192	
100	150	185	
92	140	180	
92	136	181	
97	139	187	
106	144	189	
102	136	174	
108	141	174	
118	148	182	
124	154	188	
130	161	192	
135	166	197	
143	170	200	
146	173	203	
146	171	201	
147	173	200	
150	174	202	
152	176	202	
156	178	202	
158	180	204	
160	182	206	
161	182	209	
159	183	211	
159	182	213	
161	184	216	
150	173	205	
134	154	187	
134	154	187	
144	164	197	
144	165	196	
157	176	208	
170	190	217	
181	201	226	
184	205	226	
186	204	224	
187	206	221	
188	207	221	
188	207	221	
194	213	228	
193	212	229	
191	210	227	
189	208	225	
187	206	221	
185	204	219	
183	205	219	
182	204	218	
184	207	223	
180	203	219	
175	197	218	
172	194	217	
169	193	217	
168	192	218	
166	189	220	
164	188	216	
161	185	211	
161	185	211	
161	182	209	
160	182	206	
159	179	204	
158	178	203	
157	177	202	
155	177	201	
154	175	202	
148	172	200	
141	166	196	
133	162	192	
128	157	189	
121	151	185	
113	146	181	
105	143	179	
100	145	184	
93	145	184	
89	141	181	
82	135	175	
74	129	170	
68	126	166	
66	125	167	
65	127	168	
65	126	171	
60	124	168	
56	123	168	
54	122	167	
50	121	167	
48	119	165	
52	122	171	
59	127	176	
60	123	176	
62	123	177	
67	129	180	
73	135	184	
74	136	185	
72	135	179	
74	135	180	
80	139	181	
91	149	189	
96	150	188	
102	151	191	
108	154	190	
112	154	192	
119	159	195	
127	163	199	
131	167	203	
126	155	185	
123	154	183	
123	152	182	
121	152	181	
122	151	181	
123	154	183	
127	156	186	
127	158	187	
128	157	187	
128	159	188	
130	159	189	
131	162	191	
133	162	192	
132	163	192	
133	162	192	
133	162	192	
136	163	193	
136	163	193	
136	162	195	
136	163	193	
135	161	194	
133	162	192	
132	161	193	
131	162	191	
132	161	193	
131	162	191	
131	162	193	
128	162	190	
129	160	191	
126	160	188	
126	157	188	
123	156	187	
119	152	185	
119	154	186	
119	153	188	
120	154	189	
118	154	188	
118	154	188	
117	153	189	
116	152	188	
111	149	185	
109	147	183	
107	145	182	
104	144	180	
106	146	182	
109	149	185	
113	152	191	
115	154	193	
111	153	193	
111	153	195	
110	152	194	
109	151	193	
108	150	192	
108	150	192	
109	151	193	
109	151	193	
109	151	193	
109	151	193	
109	151	193	
109	151	193	
109	151	193	
108	150	192	
108	150	192	
106	149	191	
102	146	185	
104	148	185	
103	147	186	
101	145	182	
104	148	185	
107	153	189	
106	151	190	
102	147	186	
97	142	181	
99	147	185	
99	147	185	
96	144	182	
96	144	184	
99	149	186	
102	151	191	
101	150	190	
98	147	187	
98	147	188	
96	148	188	
95	147	187	
94	145	188	
93	144	187	
90	143	187	
89	143	187	
83	137	183	
81	137	184	
81	137	186	
81	139	187	
81	139	189	
77	137	187	
73	133	183	
71	131	181	
70	132	181	
70	134	182	
70	134	182	
70	134	182	
69	133	181	
69	133	181	
66	132	180	
66	132	180	
67	133	181	
65	133	180	
63	131	178	
61	129	176	
58	129	175	
58	129	175	
59	130	176	
59	130	176	
56	128	176	
55	129	176	
56	128	176	
55	127	175	
54	126	176	
52	124	174	
50	122	172	
49	121	171	
50	121	173	
49	120	172	
48	119	171	
46	117	169	
47	116	171	
47	116	171	
47	116	171	
47	116	171	
46	117	173	
48	120	178	
47	119	177	
42	117	172	
42	118	170	
44	121	173	
46	122	172	
44	120	169	
46	120	169	
50	122	170	
54	125	171	
58	126	173	
60	124	170	
59	123	169	
61	122	167	
64	123	167	
64	121	164	
76	129	171	
91	138	180	
105	147	187	
118	156	193	
129	165	201	
130	166	200	
124	163	194	
116	159	191	
111	158	188	
102	152	185	
94	144	179	
89	138	178	
92	139	183	
101	143	191	
109	147	192	
107	141	178	
114	147	180	
124	154	188	
131	161	195	
135	166	197	
139	170	201	
145	172	202	
147	174	204	
146	171	201	
147	173	200	
149	173	201	
151	175	201	
155	177	201	
156	178	202	
158	180	204	
159	180	207	
157	181	209	
158	181	212	
162	185	217	
152	175	207	
137	157	190	
140	160	193	
153	173	206	
154	175	206	
161	180	212	
168	188	215	
173	193	218	
175	196	217	
180	198	218	
186	205	220	
189	208	222	
188	207	221	
191	210	225	
190	209	226	
188	207	224	
186	205	222	
185	204	219	
185	204	219	
183	205	219	
183	205	219	
183	206	222	
179	202	218	
175	197	218	
172	194	217	
168	192	216	
167	191	217	
164	187	218	
162	185	216	
158	182	210	
158	182	208	
159	180	209	
158	179	206	
156	177	204	
154	175	202	
153	174	201	
150	174	200	
143	169	196	
138	165	194	
130	159	189	
122	155	188	
116	150	185	
110	146	182	
103	141	178	
96	140	177	
87	136	176	
83	136	176	
79	134	173	
75	130	169	
69	127	167	
64	123	163	
62	121	163	
59	120	164	
60	123	167	
58	122	166	
57	121	167	
54	121	166	
51	119	166	
50	121	167	
56	124	173	
60	128	177	
64	127	180	
64	125	179	
65	127	178	
69	131	180	
70	132	181	
71	134	178	
77	138	183	
86	145	187	
91	149	189	
94	148	186	
98	147	187	
102	148	184	
106	148	186	
111	151	187	
118	154	190	
120	156	192	
131	158	188	
128	157	187	
127	154	184	
123	152	182	
125	152	182	
124	153	183	
128	155	185	
127	156	186	
131	158	188	
130	159	189	
133	160	190	
132	161	191	
134	161	191	
132	161	191	
134	161	191	
134	161	191	
137	162	193	
137	162	192	
137	162	193	
136	161	191	
136	161	192	
135	162	191	
134	161	191	
132	162	190	
136	163	193	
134	164	192	
134	163	193	
132	163	191	
133	162	192	
130	161	189	
130	159	189	
128	159	188	
125	158	189	
125	158	191	
123	158	190	
123	158	190	
121	156	188	
119	154	186	
117	153	187	
116	152	186	
111	147	181	
107	146	179	
105	143	179	
104	142	178	
105	143	179	
108	146	182	
111	149	186	
112	151	190	
109	151	191	
107	150	192	
106	149	191	
106	149	191	
105	148	190	
105	148	190	
106	149	191	
106	149	191	
109	152	194	
109	152	194	
108	151	193	
107	150	192	
106	149	191	
105	148	190	
105	148	190	
105	148	190	
103	145	187	
105	147	187	
104	146	188	
102	144	184	
104	146	186	
108	152	191	
107	151	190	
103	147	186	
99	143	182	
103	148	187	
105	150	189	
101	147	183	
99	144	183	
100	148	184	
102	150	188	
101	149	187	
104	149	190	
104	149	190	
104	149	190	
103	148	189	
100	147	189	
98	145	187	
95	144	187	
92	143	188	
86	138	185	
84	138	184	
84	138	185	
84	140	187	
84	140	189	
81	139	187	
76	134	182	
70	131	178	
69	131	178	
70	132	179	
70	132	179	
71	133	180	
70	134	180	
69	133	179	
68	132	178	
66	133	178	
70	137	182	
69	136	181	
65	133	178	
63	131	176	
62	130	175	
62	130	175	
63	131	176	
61	132	176	
60	131	177	
59	132	177	
60	131	177	
59	130	176	
58	128	177	
56	126	175	
54	124	173	
53	123	172	
51	121	172	
50	120	171	
49	119	171	
47	117	169	
46	116	168	
46	116	168	
46	116	168	
46	115	170	
47	118	174	
48	121	176	
47	120	175	
42	118	170	
42	118	170	
45	121	173	
46	122	172	
43	119	168	
43	117	166	
47	119	167	
52	123	169	
56	124	171	
59	123	169	
60	124	170	
63	124	171	
67	125	171	
73	130	175	
86	139	181	
101	150	191	
115	158	200	
125	164	203	
127	165	202	
120	158	194	
106	149	181	
105	151	184	
96	147	178	
88	141	173	
85	137	174	
90	139	179	
95	142	186	
102	144	192	
106	144	189	
115	149	186	
122	155	188	
131	161	195	
136	166	200	
139	170	201	
140	171	202	
144	171	201	
145	172	202	
147	172	202	
148	174	201	
150	174	202	
151	175	201	
155	177	201	
156	178	202	
157	179	203	
158	179	206	
156	179	210	
157	180	212	
163	183	216	
155	175	208	
141	161	194	
144	164	197	
157	176	209	
158	177	209	
164	183	215	
167	187	214	
170	187	213	
170	188	210	
175	193	213	
184	203	220	
187	206	221	
186	205	220	
185	204	221	
185	204	221	
185	204	221	
184	203	220	
185	204	219	
185	204	219	
184	206	220	
185	207	221	
182	205	221	
179	202	218	
175	197	218	
172	194	217	
168	192	216	
166	190	216	
163	186	217	
160	183	214	
158	179	210	
158	179	208	
157	178	209	
156	177	206	
154	175	204	
149	173	201	
147	171	199	
144	169	199	
135	162	192	
127	158	189	
118	153	185	
109	147	183	
103	143	179	
95	139	176	
90	135	174	
83	132	172	
77	132	171	
72	131	171	
70	129	169	
68	127	167	
66	125	167	
62	124	165	
59	120	164	
56	119	162	
57	120	164	
57	121	167	
57	121	169	
53	119	167	
52	118	168	
53	121	170	
57	123	173	
59	125	175	
57	123	175	
59	122	175	
63	126	177	
69	133	181	
71	135	183	
70	133	177	
74	135	180	
81	140	182	
84	142	182	
87	141	179	
90	139	179	
96	142	178	
102	144	182	
108	148	184	
115	151	187	
116	152	188	
134	159	190	
132	159	189	
131	156	187	
128	155	185	
128	153	184	
127	154	184	
129	154	185	
129	156	186	
132	157	188	
132	159	189	
134	159	190	
133	160	190	
134	159	190	
133	160	190	
134	159	190	
133	158	188	
138	161	192	
137	161	189	
137	160	191	
137	161	189	
136	159	190	
135	161	188	
135	160	190	
133	160	187	
136	161	191	
136	163	190	
136	163	192	
134	164	190	
136	163	192	
133	163	189	
132	162	190	
132	162	190	
131	162	193	
129	162	195	
128	161	194	
126	161	193	
124	159	191	
122	157	189	
119	153	188	
117	153	187	
115	151	185	
114	150	184	
112	148	184	
108	146	182	
107	145	181	
106	144	180	
107	145	182	
106	145	184	
106	148	188	
105	148	190	
104	147	189	
103	146	188	
103	146	188	
103	146	188	
103	146	188	
103	146	188	
107	150	192	
106	149	191	
105	148	190	
104	147	189	
104	147	189	
104	147	189	
104	147	189	
106	148	190	
107	146	189	
109	148	191	
109	146	190	
105	144	187	
107	146	189	
110	149	190	
109	148	189	
103	145	185	
103	145	185	
108	152	189	
111	153	191	
106	150	187	
102	146	183	
103	149	183	
106	150	185	
105	149	186	
108	150	190	
108	150	192	
109	151	193	
107	150	192	
106	149	192	
102	147	189	
98	145	189	
95	144	187	
90	141	186	
87	139	186	
85	137	184	
85	139	186	
87	140	190	
83	139	188	
78	134	183	
72	130	178	
71	132	179	
71	134	178	
72	134	181	
73	136	180	
73	135	182	
70	134	178	
69	133	179	
68	132	176	
70	134	180	
67	134	177	
66	133	178	
64	133	175	
64	131	176	
62	131	173	
62	130	175	
62	130	175	
63	131	176	
64	132	179	
63	131	178	
63	131	178	
62	130	179	
60	128	177	
59	127	176	
56	126	175	
55	122	174	
52	122	173	
50	120	171	
49	119	171	
48	118	170	
47	117	169	
47	117	169	
47	117	169	
48	117	172	
50	121	175	
49	120	174	
44	117	170	
44	117	170	
45	121	171	
45	121	170	
44	118	167	
44	116	164	
47	119	167	
53	121	168	
55	123	170	
58	122	168	
60	124	170	
63	125	172	
66	127	172	
82	141	185	
96	150	194	
109	160	203	
120	165	207	
125	167	207	
124	163	202	
114	154	190	
100	144	179	
98	147	180	
88	141	173	
81	135	169	
80	134	170	
85	137	177	
92	141	184	
97	141	188	
98	139	183	
120	156	192	
126	159	192	
134	164	198	
138	168	202	
139	170	201	
139	170	201	
142	169	199	
143	170	200	
148	173	203	
149	175	202	
151	175	203	
151	175	201	
154	176	200	
155	177	201	
156	178	202	
156	177	204	
155	178	209	
154	177	209	
161	181	214	
156	176	209	
145	165	198	
149	169	202	
160	179	212	
157	176	208	
160	179	209	
162	182	209	
163	181	205	
161	179	201	
166	184	204	
173	192	209	
177	196	211	
175	194	209	
180	199	216	
181	200	217	
183	202	219	
184	203	220	
185	204	219	
186	205	220	
184	206	220	
183	205	219	
181	204	220	
178	201	217	
175	197	218	
172	194	217	
168	192	216	
165	189	215	
161	184	215	
158	181	212	
156	177	208	
156	177	208	
156	177	208	
154	175	206	
149	172	203	
144	169	199	
141	166	196	
136	165	195	
134	165	196	
125	159	194	
114	152	188	
103	147	184	
96	141	180	
88	137	177	
81	132	175	
76	131	172	
70	129	169	
65	129	167	
63	126	167	
62	125	166	
62	125	166	
61	124	167	
58	121	164	
55	119	163	
55	119	165	
58	122	168	
58	122	170	
54	118	166	
50	116	166	
53	119	169	
55	121	171	
55	121	171	
47	113	165	
51	117	169	
62	128	178	
74	138	186	
75	139	187	
69	133	177	
65	128	172	
69	128	170	
71	129	169	
74	128	166	
79	128	168	
87	133	169	
96	138	176	
107	145	182	
113	149	185	
115	151	187	
135	158	189	
133	158	188	
134	157	188	
133	158	188	
134	157	188	
133	158	188	
134	157	188	
133	158	188	
134	157	188	
133	158	188	
135	158	189	
134	159	189	
135	158	189	
134	159	189	
134	157	188	
133	156	187	
138	162	190	
139	160	187	
139	160	189	
139	160	187	
138	159	188	
136	160	186	
136	160	188	
134	160	185	
136	160	188	
136	162	187	
137	163	190	
137	165	189	
138	164	191	
137	165	189	
136	163	190	
134	164	190	
133	164	193	
133	164	195	
132	163	194	
129	162	193	
128	161	192	
126	159	190	
124	157	190	
122	157	189	
121	156	188	
119	155	187	
118	154	188	
117	153	187	
115	151	185	
113	149	183	
111	147	183	
108	146	183	
105	147	187	
103	146	188	
102	145	187	
101	144	186	
101	144	186	
101	144	186	
102	145	187	
102	145	187	
101	144	186	
101	144	186	
100	143	185	
100	143	185	
101	144	186	
103	146	188	
105	148	190	
107	149	191	
112	149	194	
113	150	195	
114	148	194	
108	145	189	
109	146	190	
112	149	193	
111	148	190	
105	144	185	
104	143	182	
109	151	189	
114	153	192	
108	151	186	
104	147	182	
105	150	183	
108	151	185	
108	151	186	
112	151	190	
113	150	192	
113	152	193	
113	152	193	
111	150	193	
106	148	190	
102	145	188	
99	143	188	
96	143	187	
91	139	185	
87	138	185	
86	138	185	
89	141	189	
87	141	188	
81	135	182	
74	130	177	
77	135	181	
76	137	181	
78	139	184	
78	139	183	
78	139	184	
75	138	181	
73	136	180	
71	134	177	
70	133	177	
69	134	176	
69	133	177	
67	134	176	
68	132	176	
65	132	174	
64	131	174	
63	130	173	
63	130	175	
64	131	176	
64	131	176	
64	131	176	
63	129	177	
62	128	176	
61	127	175	
60	128	175	
59	125	175	
57	125	174	
55	123	172	
54	121	173	
52	119	171	
52	119	171	
51	118	170	
49	119	171	
49	119	171	
50	121	173	
49	120	172	
44	117	168	
43	116	167	
46	120	169	
47	121	170	
44	118	167	
47	119	167	
49	121	169	
54	122	169	
55	123	170	
57	121	169	
58	122	170	
60	122	169	
63	124	171	
85	143	189	
94	151	196	
104	157	201	
110	157	201	
113	156	199	
113	156	198	
109	153	192	
100	148	184	
95	148	182	
89	145	180	
81	140	174	
78	136	173	
82	135	175	
87	138	181	
94	141	187	
101	142	186	
124	160	196	
130	163	196	
136	166	200	
139	169	203	
139	170	201	
140	171	202	
143	170	200	
144	171	201	
148	173	203	
149	175	202	
150	174	202	
151	175	201	
153	175	199	
154	176	200	
155	177	201	
155	176	203	
156	176	209	
154	174	209	
158	178	211	
157	177	210	
151	170	202	
157	176	208	
163	182	214	
157	176	206	
155	172	200	
158	175	201	
159	177	201	
158	176	198	
163	180	200	
171	188	206	
175	192	208	
175	192	208	
178	197	214	
180	199	216	
183	202	219	
185	204	221	
186	205	220	
185	204	219	
181	203	217	
179	201	215	
180	203	219	
178	201	217	
174	196	217	
172	194	217	
168	192	216	
164	188	214	
160	183	214	
157	180	211	
156	176	209	
156	176	209	
155	175	208	
153	173	206	
147	170	202	
141	166	197	
134	163	193	
130	161	192	
125	159	194	
117	155	191	
105	149	186	
95	144	184	
88	140	180	
81	136	177	
75	134	178	
70	131	175	
65	128	171	
61	126	166	
58	123	165	
57	122	164	
59	124	166	
59	123	167	
